channel,energy_keV,raw_counts,background_adjusted_counts,background_adjusted_unc,efficiency,final_corrected_counts,final_corrected_unc
194,95.2309253756,1511.0,1506.8541666666667,38.87269442073417,0.0007937651396655968,1898362.7415301776,48972.53920361222
195,95.7305514775,1470.0,1467.0208333333333,38.34138841998581,0.000797575764410633,1839349.813264932,48072.40908118378
196,96.2301777136,1450.0,1446.7083333333333,38.07976597077363,0.0008013030561253926,1805444.6719930442,47522.30217978188
197,96.72980408389999,1409.0,1404.8333333333333,37.537805017815785,0.0008049486209681228,1745245.9656912272,46633.790082985106
198,97.22943058839999,1389.0,1385.4166666666667,37.27029182576624,0.0008085140292862934,1713534.479902133,46097.27286818532
199,97.7290572271,1457.0,1453.8125,38.17153921772084,0.0008120008165558062,1790407.6823056794,47009.23747790029
200,98.228684,1392.0,1387.5416666666667,37.31076094030306,0.0008154104842915217,1701648.0575084186,45757.028710172795
201,98.7283109071,1376.0,1372.9375,37.09533396646178,0.0008187445009302305,1676881.4916498538,45307.582431778515
202,99.2279379484,1363.0,1359.5416666666667,36.919805641567386,0.0008220043026869067,1653934.9760368625,44914.370303034506
203,99.7275651239,1466.0,1462.3125,38.289382639534246,0.0008251912943852409,1772089.1021874,46400.6138940904
204,100.2271924336,1481.0,1477.6666666666667,38.484665055635396,0.0008283938206361587,1783773.164232326,46456.96780557995
205,100.72681987749999,1477.0,1473.5833333333333,38.43268375426774,0.0008316311848585274,1771919.2836473675,46213.61542713878
206,101.2264474556,1437.0,1432.9583333333333,37.90889343398049,0.0008348006111630031,1716527.6524378753,45410.7159566734
207,101.72607516789999,1401.0,1397.0,37.4310477188835,0.0008379033369002002,1667256.7568093978,44672.27431908626
208,102.2257030144,1419.0,1415.1875,37.67067064817579,0.000840940573265351,1682862.6718590385,44795.87719486709
209,102.7253309951,1454.0,1450.2291666666667,38.13238202666833,0.0008439135059509311,1718457.1125361153,45185.17805174873
210,103.22495911,1477.0,1472.8958333333333,38.43287009152741,0.0008468232957801553,1739318.9826885837,45384.757697437046
