Efficiencies for file,,,,C1,C2,C3,C4,A,T1,DI,DL,Error
N:\EffCalCurrent\South sm vl 0.5ml 25cm.ANH,,,,-20.2569,10.2872,-1.65505,0.0866563,0.00347696,1000,1.39,700,0.00458934

 
Energy, Efficiency, MuWin, MuGe 
377,0.101686,0.527366,0.526477
378,0.101498,0.526477,0.525593
379,0.10131,0.525593,0.524714
380,0.101123,0.524714,0.52384
381,0.100936,0.52384,0.52297
382,0.10075,0.52297,0.522106
383,0.100565,0.522106,0.521247
384,0.10038,0.521247,0.520392
385,0.100195,0.520392,0.519542
386,0.100011,0.519542,0.518697
387,0.099828,0.518697,0.517856
388,0.0996452,0.517856,0.51702
389,0.0994629,0.51702,0.516189
390,0.0992811,0.516189,0.515362
391,0.0990998,0.515362,0.514539
392,0.0989191,0.514539,0.513721
393,0.0987388,0.513721,0.512907
394,0.0985591,0.512907,0.512098
395,0.0983799,0.512098,0.511293
396,0.0982013,0.511293,0.510492
397,0.0980231,0.510492,0.509695
398,0.0978455,0.509695,0.508902
399,0.0976683,0.508902,0.508114
400,0.0974917,0.508114,0.50733
401,0.0973156,0.50733,0.506549
402,0.09714,0.506549,0.505773
403,0.0969648,0.505773,0.505001
404,0.0967902,0.505001,0.504232
405,0.0966161,0.504232,0.503468
406,0.0964425,0.503468,0.502707
407,0.0962694,0.502707,0.50195
408,0.0960968,0.50195,0.501197
409,0.0959246,0.501197,0.500448
410,0.095753,0.500448,0.499702
411,0.0955818,0.499702,0.49896
412,0.0954112,0.49896,0.498222
413,0.095241,0.498222,0.497487
414,0.0950713,0.497487,0.496756
415,0.0949021,0.496756,0.496029
416,0.0947334,0.496029,0.495305
417,0.0945651,0.495305,0.494584
418,0.0943974,0.494584,0.493867
419,0.0942301,0.493867,0.493153
420,0.0940632,0.493153,0.492443
421,0.0938969,0.492443,0.491736
422,0.093731,0.491736,0.491033
423,0.0935656,0.491033,0.490332
424,0.0934007,0.490332,0.489635
425,0.0932362,0.489635,0.488942
426,0.0930722,0.488942,0.488251
427,0.0929087,0.488251,0.487564
428,0.0927456,0.487564,0.48688
429,0.092583,0.48688,0.486199
430,0.0924209,0.486199,0.485521
431,0.0922592,0.485521,0.484846
432,0.0920979,0.484846,0.484174
433,0.0919371,0.484174,0.483505
434,0.0917768,0.483505,0.48284
435,0.0916169,0.48284,0.482177
436,0.0914575,0.482177,0.481517
437,0.0912985,0.481517,0.48086
438,0.09114,0.48086,0.480206
439,0.0909819,0.480206,0.479555
440,0.0908242,0.479555,0.478907
441,0.090667,0.478907,0.478261
442,0.0905103,0.478261,0.477619
443,0.090354,0.477619,0.476979
444,0.0901981,0.476979,0.476342
445,0.0900426,0.476342,0.475708
446,0.0898876,0.475708,0.475076
447,0.089733,0.475076,0.474447
448,0.0895789,0.474447,0.473821
449,0.0894252,0.473821,0.473198
450,0.0892719,0.473198,0.472577
451,0.089119,0.472577,0.471958
452,0.0889666,0.471958,0.471343
453,0.0888146,0.471343,0.470729
454,0.088663,0.470729,0.470119
455,0.0885118,0.470119,0.469511
456,0.0883611,0.469511,0.468905
457,0.0882108,0.468905,0.468302
458,0.0880609,0.468302,0.467702
459,0.0879114,0.467702,0.467104
460,0.0877623,0.467104,0.466508
461,0.0876136,0.466508,0.465915
462,0.0874654,0.465915,0.465324
463,0.0873176,0.465324,0.464735
464,0.0871701,0.464735,0.464149
465,0.0870231,0.464149,0.463565
466,0.0868765,0.463565,0.462984
467,0.0867303,0.462984,0.462405
468,0.0865845,0.462405,0.461828
469,0.0864391,0.461828,0.461254
470,0.0862941,0.461254,0.460681
471,0.0861495,0.460681,0.460111
472,0.0860053,0.460111,0.459543
473,0.0858615,0.459543,0.458978
474,0.0857181,0.458978,0.458414
475,0.0855751,0.458414,0.457853
476,0.0854325,0.457853,0.457294
477,0.0852902,0.457294,0.456737
478,0.0851484,0.456737,0.456182
479,0.085007,0.456182,0.455629
480,0.0848659,0.455629,0.455079
481,0.0847252,0.455079,0.45453
482,0.0845849,0.45453,0.453984
483,0.084445,0.453984,0.453439
484,0.0843055,0.453439,0.452897
485,0.0841664,0.452897,0.452357
486,0.0840276,0.452357,0.451818
487,0.0838893,0.451818,0.451282
488,0.0837513,0.451282,0.450748
489,0.0836136,0.450748,0.450215
490,0.0834764,0.450215,0.449685
491,0.0833395,0.449685,0.449156
492,0.083203,0.449156,0.44863
493,0.0830669,0.44863,0.448105
494,0.0829312,0.448105,0.447582
495,0.0827958,0.447582,0.447062
496,0.0826608,0.447062,0.446543
497,0.0825261,0.446543,0.446025
498,0.0823918,0.446025,0.44551
499,0.0822579,0.44551,0.444997
500,0.0821244,0.444997,0.444485
501,0.0819912,0.444485,0.443975
502,0.0818583,0.443975,0.443467
503,0.0817259,0.443467,0.442961
504,0.0815937,0.442961,0.442457
505,0.081462,0.442457,0.441954
506,0.0813306,0.441954,0.441453
507,0.0811995,0.441453,0.440954
508,0.0810689,0.440954,0.440457
509,0.0809385,0.440457,0.439961
510,0.0808085,0.439961,0.439467
511,0.0806789,0.439467,0.438975
512,0.0805496,0.438975,0.438484
513,0.0804207,0.438484,0.437995
514,0.0802921,0.437995,0.437508
515,0.0801639,0.437508,0.437022
516,0.080036,0.437022,0.436538
517,0.0799084,0.436538,0.436056
518,0.0797812,0.436056,0.435575
519,0.0796543,0.435575,0.435096
520,0.0795278,0.435096,0.434618
521,0.0794016,0.434618,0.434143
522,0.0792758,0.434143,0.433668
523,0.0791503,0.433668,0.433195
524,0.0790251,0.433195,0.432724
525,0.0789002,0.432724,0.432255
526,0.0787757,0.432255,0.431786
527,0.0786516,0.431786,0.43132
528,0.0785277,0.43132,0.430855
529,0.0784042,0.430855,0.430391
530,0.078281,0.430391,0.429929
531,0.0781582,0.429929,0.429469
532,0.0780357,0.429469,0.42901
533,0.0779135,0.42901,0.428552
534,0.0777916,0.428552,0.428096
535,0.07767,0.428096,0.427641
536,0.0775488,0.427641,0.427188
537,0.0774279,0.427188,0.426736
538,0.0773073,0.426736,0.426286
539,0.0771871,0.426286,0.425837
540,0.0770671,0.425837,0.425389
541,0.0769475,0.425389,0.424943
542,0.0768282,0.424943,0.424499
543,0.0767092,0.424499,0.424055
544,0.0765906,0.424055,0.423613
545,0.0764722,0.423613,0.423173
546,0.0763542,0.423173,0.422734
547,0.0762364,0.422734,0.422296
548,0.076119,0.422296,0.421859
549,0.0760019,0.421859,0.421424
